OBJECTID,stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,Sidewalk_Width__ft_,Accessibility_Score,Sidewalk_Condition,Sidewalk_Material,Current_Shelter,Routes,Municipality_1,Neighborhood,created_user,created_date,last_edited_user,last_edited_date,POSTCODE
"663621",place-eliot,,Eliot,,,,42.319045,-71.216684,,"248 Lincoln St, Newton, MA 02461",https://www.mbta.com/stops/place-eliot,,"1",,"2",Newton,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02461"
"663629",place-engav,,Englewood Avenue,,,,42.336971,-71.14566,,"Beacon St and Englewood Ave, Brookline, MA",https://www.mbta.com/stops/place-engav,,"1",,"2",Brookline,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02445"
"663632",place-esomr,,East Somerville,,,,42.379467,-71.086625,,"134 Washington St, Somerville, MA 02143",https://www.mbta.com/stops/place-esomr,,"1",,"1",Somerville,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02143"
"663639",place-fbkst,,Fairbanks Street,,,,42.339725,-71.131073,,"Beacon St and Fairbanks Ave, Brookline, MA",https://www.mbta.com/stops/place-fbkst,,"1",,"2",Brookline,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02446"
"663642",place-fenwd,,Fenwood Road,,,,42.333706,-71.105728,,"Huntington Ave and Fenwood Rd, Boston, MA",https://www.mbta.com/stops/place-fenwd,,"1",,"2",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02115"
"663645",place-fenwy,,Fenway,,,,42.345403,-71.104213,,"411 Park Dr, Boston, MA 02215",https://www.mbta.com/stops/place-fenwy,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02215"
"663650",place-fldcr,,Fields Corner,,,,42.300093,-71.061667,,"50 Freeman St, Dorchester, MA 02122",https://www.mbta.com/stops/place-fldcr,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02122"
"663656",place-forhl,,Forest Hills,,,,42.300713,-71.113943,CR-zone-1A,"Washington St and Hyde Park Ave, Jamaica Plain, MA 02130",https://www.mbta.com/stops/place-forhl,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02130"
"663670",place-gilmn,,Gilman Square,,,,42.387928,-71.096766,,"161 School St, Somerville, MA 02143",https://www.mbta.com/stops/place-gilmn,,"1",,"1",Somerville,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02143"
"663675",place-gover,,Government Center,,,,42.359705,-71.059215,,"Cambridge St and Court St, Boston, MA",https://www.mbta.com/stops/place-gover,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02114"
"663682",place-grigg,,Griggs Street,,,,42.348545,-71.134949,,"Commonwealth Ave and Griggs St, Boston, MA",https://www.mbta.com/stops/place-grigg,,"1",,"2",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02134"
"663685",place-grnst,,Green Street,,,,42.310525,-71.107414,,"150 Green St, Jamaica Plain, MA",https://www.mbta.com/stops/place-grnst,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02130"
"663689",place-haecl,,Haymarket,,,,42.363021,-71.05829,,"136 Blackstone St, Boston, MA 02109",https://www.mbta.com/stops/place-haecl,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02114"
"663696",place-harsq,,Harvard,,,,42.373362,-71.118956,,"1400 Massachusetts Ave, Cambridge, MA",https://www.mbta.com/stops/place-harsq,,"1",,"1",Cambridge,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02138"
"663705",place-harvd,,Harvard Avenue,,,,42.350243,-71.131355,,"Commonwealth Ave and Harvard Ave, Boston, MA",https://www.mbta.com/stops/place-harvd,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02134"
"663708",place-hsmnl,,Heath Street,,,,42.328316,-71.110252,,"Heath St and South Huntington Ave, Boston, MA",https://www.mbta.com/stops/place-hsmnl,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02130"
"663710",place-hwsst,,Hawes Street,,,,42.344906,-71.111145,,"Beacon St and Hawes St, Brookline, MA",https://www.mbta.com/stops/place-hwsst,,"1",,"2",Brookline,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02446"
"663713",place-hymnl,,Hynes Convention Center,,,,42.347888,-71.087903,,"100 Massachusetts Ave, Boston, MA",https://www.mbta.com/stops/place-hymnl,,"1",,"2",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02115"
"663718",place-jaksn,,Jackson Square,,,,42.323132,-71.099592,,"1500 Columbus Ave, Jamaica Plain, MA",https://www.mbta.com/stops/place-jaksn,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02119"
"663723",place-jfk,,JFK/UMass,,,,42.320685,-71.052391,CR-zone-1A,"599 Old Colony Ave, Boston, MA 02127-3805",https://www.mbta.com/stops/place-jfk,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02125"
"663735",place-kencl,,Kenmore,,,,42.348949,-71.095169,,"Commonwealth Ave and Kenmore St, Boston, MA 02215",https://www.mbta.com/stops/place-kencl,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02215"
"663744",place-knncl,,Kendall/MIT,,,,42.362491,-71.086176,,"300 Main St, Cambridge, MA 02142",https://www.mbta.com/stops/place-knncl,,"1",,"1",Cambridge,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02142"
"663753",place-kntst,,Kent Street,,,,42.344074,-71.114197,,"Beacon St and Powell St, Brookline, MA",https://www.mbta.com/stops/place-kntst,,"1",,"2",Brookline,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02446"
"663756",place-lake,,Boston College,,,,42.340081,-71.166769,,"Commonwealth Ave and Lake St, Boston, MA 02135",https://www.mbta.com/stops/place-lake,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02135"
"663759",place-lech,,Lechmere,,,,42.371572,-71.076584,,"3 North First St, Cambridge, MA 02141",https://www.mbta.com/stops/place-lech,,"1",,"1",Cambridge,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02141"
"663767",place-lngmd,,Longwood Medical Area,,,,42.33596,-71.100052,,"Huntington Ave and Longwood Ave, Boston, MA 02115",https://www.mbta.com/stops/place-lngmd,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02115"
"663770",place-longw,,Longwood,,,,42.341702,-71.109956,,"30 Chapel St, Brookline, MA 02446",https://www.mbta.com/stops/place-longw,,"1",,"1",Brookline,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02446"
"663777",place-masta,,Massachusetts Avenue,,,,42.341512,-71.083423,,"393 Massachusetts Ave, Boston, MA 02118",https://www.mbta.com/stops/place-masta,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02115"
"663784",place-matt,,Mattapan,,,,42.26762,-71.092486,,"500 River St, Boston, MA 02126",https://www.mbta.com/stops/place-matt,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02126"
"663793",place-mdftf,,Medford/Tufts,,,,42.407975,-71.117044,,"460 Boston Ave, Medford, MA 02155",https://www.mbta.com/stops/place-mdftf,,"1",,"1",Medford,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02155"
"663797",place-mfa,,Museum of Fine Arts,,,,42.337711,-71.095512,,"Huntington Ave and Ruggles St, Boston, MA",https://www.mbta.com/stops/place-mfa,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02115"
"663800",place-mgngl,,Magoun Square,,,,42.393682,-71.106388,,"270 Lowell St, Somerville, MA 02145",https://www.mbta.com/stops/place-mgngl,,"1",,"1",Somerville,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02144"
"663804",place-miltt,,Milton,,,,42.270349,-71.067266,,"1 Adams St, Milton, MA 02186",https://www.mbta.com/stops/place-miltt,,"1",,"1",Milton,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02186"
"663809",place-mispk,,Mission Park,,,,42.333195,-71.109756,,"Huntington Ave and Mission Park Dr, Boston, MA 02115",https://www.mbta.com/stops/place-mispk,,"1",,"2",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02115"
"663812",place-mlmnl,,Malden Center,,,,42.426632,-71.07411,CR-zone-1A,"Commercial St and Pleasant St, Malden, MA 02148",https://www.mbta.com/stops/place-mlmnl,,"1",,"1",Malden,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02148"
"663822",place-mvbcl,,Maverick,,,,42.369119,-71.03953,,"Sumner St and Maverick Sq, East Boston, MA",https://www.mbta.com/stops/place-mvbcl,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02128"
"663829",place-newtn,,Newton Highlands,,,,42.322381,-71.205509,,"60 Station Ave, Newton, MA 02461",https://www.mbta.com/stops/place-newtn,,"1",,"1",Newton,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02461"
"663837",place-newto,,Newton Centre,,,,42.329443,-71.192414,,"72 Union St, Newton, MA 02459",https://www.mbta.com/stops/place-newto,,"1",,"1",Newton,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02459"
