Geography,Total Estimate,Total Margin of Error,"Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van: - Drove alone","Margin of Error - Car, truck, or van: - Drove alone","Estimate - Car, truck, or van: - Carpooled:","Margin of Error - Car, truck, or van: - Carpooled:","Estimate - Car, truck, or van: - In 2-person carpool","Margin of Error - Car, truck, or van: - In 2-person carpool","Estimate - Car, truck, or van: - In 3-person carpool","Margin of Error - Car, truck, or van: - In 3-person carpool","Estimate - Car, truck, or van: - In 4-person carpool","Margin of Error - Car, truck, or van: - In 4-person carpool","Estimate - Car, truck, or van: - In 5- or 6-person carpool","Margin of Error - Car, truck, or van: - In 5- or 6-person carpool","Estimate - Car, truck, or van: - In 7-or-more-person carpool","Margin of Error - Car, truck, or van: - In 7-or-more-person carpool",Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Public transportation (excluding taxicab): - Bus,Margin of Error - Public transportation (excluding taxicab): - Bus,Estimate - Public transportation (excluding taxicab): - Subway or elevated rail,Margin of Error - Public transportation (excluding taxicab): - Subway or elevated rail,Estimate - Public transportation (excluding taxicab): - Long-distance train or commuter rail,Margin of Error - Public transportation (excluding taxicab): - Long-distance train or commuter rail,"Estimate - Public transportation (excluding taxicab): - Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error - Public transportation (excluding taxicab): - Light rail, streetcar or trolley (carro público in Puerto Rico)",Estimate - Public transportation (excluding taxicab): - Ferryboat,Margin of Error - Public transportation (excluding taxicab): - Ferryboat,Estimate - Taxicab,Margin of Error - Taxicab,Estimate - Motorcycle,Margin of Error - Motorcycle,Estimate - Bicycle,Margin of Error - Bicycle,Estimate - Walked,Margin of Error - Walked,Estimate - Other means,Margin of Error - Other means,Estimate - Worked from home,Margin of Error - Worked from home,Block Group,Census Tract,County,State
1500000US250251704002,409,180,164,117,164,117,0,12,0,12,0,12,0,12,0,12,0,12,216,115,91,92,125,79,0,12,0,12,0,12,0,12,0,12,0,12,29,50,0,12,0,12,2,1704,Suffolk County,Massachusetts
1500000US250251704003,666,174,373,146,318,178,55,70,0,12,55,70,0,12,0,12,0,12,182,112,63,78,119,89,0,12,0,12,0,12,0,12,0,12,0,12,107,122,1,3,3,5,3,1704,Suffolk County,Massachusetts
1500000US250251704004,1152,346,907,264,832,247,75,82,0,12,75,82,0,12,0,12,0,12,245,195,169,172,76,72,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,4,1704,Suffolk County,Massachusetts
1500000US250251705011,1560,384,743,224,679,220,64,45,55,42,9,14,0,12,0,12,0,12,763,272,57,61,649,238,48,53,9,14,0,12,0,12,0,12,0,12,0,12,31,43,23,23,1,1705.01,Suffolk County,Massachusetts
1500000US250251705012,685,189,420,128,358,110,62,47,62,47,0,12,0,12,0,12,0,12,188,112,35,38,153,91,0,12,0,12,0,12,0,12,0,12,46,48,0,12,0,12,31,28,2,1705.01,Suffolk County,Massachusetts
1500000US250251705021,462,137,372,120,358,118,14,21,0,12,14,21,0,12,0,12,0,12,70,49,10,16,54,42,0,12,0,12,6,13,0,12,0,12,0,12,0,12,0,12,20,23,1,1705.02,Suffolk County,Massachusetts
1500000US250251705022,639,177,446,151,414,131,32,52,21,37,11,19,0,12,0,12,0,12,172,108,6,17,145,119,21,32,0,12,0,12,0,12,0,12,0,12,21,18,0,12,0,12,2,1705.02,Suffolk County,Massachusetts
1500000US250251706011,730,211,548,160,442,145,106,58,106,58,0,12,0,12,0,12,0,12,119,82,17,27,91,77,11,17,0,12,0,12,0,12,0,12,0,12,36,41,0,12,27,32,1,1706.01,Suffolk County,Massachusetts
1500000US250251706012,744,289,556,269,482,252,74,117,74,117,0,12,0,12,0,12,0,12,140,76,23,31,107,63,10,16,0,12,0,12,0,12,0,12,0,12,30,31,0,12,18,32,2,1706.01,Suffolk County,Massachusetts
1500000US250251706013,795,280,563,145,513,139,50,39,41,37,0,12,0,12,9,13,0,12,225,176,138,148,87,79,0,12,0,12,0,12,0,12,0,12,0,12,7,12,0,12,0,12,3,1706.01,Suffolk County,Massachusetts
1500000US250251706014,858,434,531,231,318,133,213,142,156,132,0,12,57,70,0,12,0,12,257,233,38,35,219,235,0,12,0,12,0,12,0,12,0,12,0,12,39,45,0,12,31,28,4,1706.01,Suffolk County,Massachusetts
1500000US250251707011,262,89,127,49,87,36,40,35,40,35,0,12,0,12,0,12,0,12,112,58,17,19,95,55,0,12,0,12,0,12,0,12,0,12,0,12,17,27,6,9,0,12,1,1707.01,Suffolk County,Massachusetts
1500000US250251707012,889,165,388,94,368,91,20,21,15,17,0,12,5,11,0,12,0,12,390,124,5,11,362,119,0,12,23,36,0,12,17,22,0,12,0,12,84,55,10,11,0,12,2,1707.01,Suffolk County,Massachusetts
1500000US250251707021,266,192,147,122,119,94,28,44,28,44,0,12,0,12,0,12,0,12,119,154,0,12,99,157,0,12,20,24,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1,1707.02,Suffolk County,Massachusetts
1500000US250251707022,639,314,370,219,370,219,0,12,0,12,0,12,0,12,0,12,0,12,191,166,33,38,158,159,0,12,0,12,0,12,0,12,0,12,0,12,78,89,0,12,0,12,2,1707.02,Suffolk County,Massachusetts
1500000US250251707023,965,322,598,220,418,205,180,198,115,130,42,68,23,40,0,12,0,12,273,193,0,12,273,193,0,12,0,12,0,12,0,12,0,12,40,59,35,46,19,31,0,12,3,1707.02,Suffolk County,Massachusetts
1500000US250251707024,804,367,440,248,319,231,121,120,70,89,0,12,0,12,0,12,51,82,236,221,45,75,191,183,0,12,0,12,0,12,0,12,0,12,0,12,32,49,0,12,96,105,4,1707.02,Suffolk County,Massachusetts
1500000US250251707025,738,341,168,101,150,99,18,34,18,34,0,12,0,12,0,12,0,12,548,316,106,127,199,127,222,336,21,34,0,12,0,12,0,12,0,12,22,30,0,12,0,12,5,1707.02,Suffolk County,Massachusetts
1500000US250251708001,1353,505,425,199,375,174,50,84,50,84,0,12,0,12,0,12,0,12,809,400,44,56,765,393,0,12,0,12,0,12,25,41,0,12,32,51,0,12,30,48,32,51,1,1708,Suffolk County,Massachusetts
1500000US250251708002,664,245,419,201,328,157,91,84,49,59,0,12,42,63,0,12,0,12,208,120,10,19,163,117,0,12,35,48,0,12,0,12,0,12,0,12,0,12,19,33,18,31,2,1708,Suffolk County,Massachusetts
1500000US250251708003,562,225,362,204,337,220,25,40,25,40,0,12,0,12,0,12,0,12,171,113,0,12,171,113,0,12,0,12,0,12,0,12,0,12,0,12,1,2,1,2,27,34,3,1708,Suffolk County,Massachusetts
1500000US250251708004,443,167,244,140,227,136,17,27,17,27,0,12,0,12,0,12,0,12,129,78,18,27,111,75,0,12,0,12,0,12,6,10,0,12,0,12,0,12,0,12,64,65,4,1708,Suffolk County,Massachusetts
