from_stop_id	to_stop_id	count	mean
70112	70156	36801.0	2076.328958452216
70112	70158	35661.0	2229.8439471691763
70112	70200	35650.0	2334.0547826086954
70112	70201	30259.0	2481.0124260550583
70112	70203	78.0	2227.987179487179
70112	70205	95.0	2317.084210526316
70112	70207	76.0	2505.144736842106
70112	70501	84.0	2631.1309523809527
70112	70505	80.0	3020.2750000000005
70112	70507	80.0	3133.7500000000005
70112	70509	79.0	3225.962025316456
70112	70511	73.0	3461.8630136986308
70112	70513	80.0	2892.9875
70112	71150	38748.0	1570.0863528440182
70112	170136	41123.0	971.0043527952728
70112	170140	40079.0	1108.777264901819
70113	70107	40594.0	245.38724934719414
70113	70111	41173.0	48.52225973332038
70114	70116	41586.0	35.2980570384264
70114	70120	41463.0	155.06936304657165
70114	70124	41364.0	284.3739725365051
70114	70126	41311.0	393.0931955169326
70114	70128	41264.0	472.62766576192314
70114	70130	41284.0	545.5623243871719
70114	70134	41299.0	728.2660839245502
70114	70144	40187.0	1171.7005499290817
70114	70146	39967.0	1257.6554657592515
70114	70148	39779.0	1393.5469468815209
70114	70152	37534.0	1696.301246869505
70114	70154	37138.0	1871.102751898325
70114	70156	36862.0	2001.3517986001846
70114	70158	35723.0	2155.108641491476
70114	70200	35711.0	2259.3789588642157
70114	70201	30307.0	2406.178308641568
70114	70203	78.0	2177.179487179487
70114	70205	95.0	2267.0631578947373
70114	70207	76.0	2453.0921052631584
70114	70501	84.0	2580.309523809524
70114	70505	80.0	2970.1000000000004
70114	70507	80.0	3083.5750000000003
70114	70509	79.0	3175.53164556962
70114	70511	73.0	3412.0136986301372
70114	70513	80.0	2842.8125000000005
70114	71150	38810.0	1494.8683586704458
70114	170136	41200.0	895.6886893203884
70114	170140	40154.0	1033.5139961149575
70115	70107	40500.0	355.071061728395
70115	70111	41078.0	158.28979015531425
70115	70113	41252.0	28.566954329487054
70116	70120	41566.0	82.05891834672569
70116	70124	41461.0	211.39369527990164
70116	70126	41406.0	320.0959522774477
70116	70128	41364.0	399.6804709409147
70116	70130	41381.0	472.59073004518984
70116	70134	41398.0	655.3186627373304
70116	70144	40276.0	1098.8808968119972
70116	70146	40057.0	1184.8716329230847
70116	70148	39864.0	1320.717815572948
70116	70152	37599.0	1623.7040878746775
70116	70154	37205.0	1798.4802580298347
70116	70156	36929.0	1928.766741585204
70116	70158	35788.0	2082.6570358779477
70116	70200	35774.0	2186.967378543076
70116	70201	30357.0	2333.853707546859
70116	70203	78.0	2117.0128205128203
70116	70205	95.0	2207.6210526315786
70116	70207	76.0	2394.513157894737
70116	70501	84.0	2521.904761904763
70116	70505	80.0	2912.0875
70116	70507	80.0	3025.5625000000005
70116	70509	79.0	3117.240506329114
70116	70511	73.0	3354.0821917808216
70116	70513	80.0	2784.8
70116	71150	38876.0	1422.0013375861715
70116	170136	41297.0	822.791340775359
70116	170140	40245.0	960.6606038017144
70117	70107	40477.0	435.47545519677846
70117	70111	41050.0	239.20302070645556
70117	70113	41216.0	109.42313664596276
70117	70115	41250.0	42.62787878787879
70120	70124	41519.0	77.59722054962789
70120	70126	41455.0	186.2844047762634
70120	70128	41404.0	265.88812675103856
70120	70130	41419.0	338.77037108573364
70120	70134	41434.0	521.4982622966645
70120	70144	40306.0	965.148414628095
70120	70146	40085.0	1051.1415991019085
70120	70148	39890.0	1187.034895963901
70120	70152	37618.0	1490.3893348928705
70120	70154	37216.0	1665.2767089423905
70120	70156	36942.0	1795.7300904119975
70120	70158	35798.0	1949.8021397843456
70120	70200	35785.0	2054.108341483862
70120	70201	30369.0	2200.945931706675
