season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
Spring 2012,CR-Fairmount,Fairmount Line,759,0,day_type_01,weekday,2018/01/01 20:48:00+00,Morton Street,3,0,8,16,109
Spring 2012,CR-Fairmount,Fairmount Line,759,0,day_type_01,weekday,2018/01/01 20:52:00+00,Fairmount,4,0,5,11,110
Spring 2012,CR-Fairmount,Fairmount Line,759,0,day_type_01,weekday,2018/01/01 20:56:00+00,Readville,5,,11,,111
Spring 2012,CR-Fairmount,Fairmount Line,761,0,day_type_01,weekday,2018/01/01 21:30:00+00,South Station,1,82,,82,112
Spring 2012,CR-Fairmount,Fairmount Line,761,0,day_type_01,weekday,2018/01/01 21:41:00+00,Uphams Corner,2,1,4,79,113
Spring 2012,CR-Fairmount,Fairmount Line,761,0,day_type_01,weekday,2018/01/01 21:48:00+00,Morton Street,3,0,25,54,114
Spring 2012,CR-Fairmount,Fairmount Line,761,0,day_type_01,weekday,2018/01/01 21:52:00+00,Fairmount,4,2,39,17,115
Spring 2012,CR-Fairmount,Fairmount Line,761,0,day_type_01,weekday,2018/01/01 21:56:00+00,Readville,5,,17,,116
Spring 2012,CR-Fairmount,Fairmount Line,763,0,day_type_01,weekday,2018/01/01 22:10:00+00,South Station,1,119,,119,117
Spring 2012,CR-Fairmount,Fairmount Line,763,0,day_type_01,weekday,2018/01/01 22:21:00+00,Uphams Corner,2,0,9,110,118
Spring 2012,CR-Fairmount,Fairmount Line,763,0,day_type_01,weekday,2018/01/01 22:28:00+00,Morton Street,3,0,20,90,119
Spring 2012,CR-Fairmount,Fairmount Line,763,0,day_type_01,weekday,2018/01/01 22:32:00+00,Fairmount,4,0,41,49,120
Spring 2012,CR-Fairmount,Fairmount Line,763,0,day_type_01,weekday,2018/01/01 22:36:00+00,Readville,5,,49,,121
Spring 2012,CR-Fairmount,Fairmount Line,765,0,day_type_01,weekday,2018/01/01 22:45:00+00,South Station,1,68,,68,122
Spring 2012,CR-Fairmount,Fairmount Line,765,0,day_type_01,weekday,2018/01/01 22:56:00+00,Uphams Corner,2,0,2,66,123
Spring 2012,CR-Fairmount,Fairmount Line,765,0,day_type_01,weekday,2018/01/01 23:03:00+00,Morton Street,3,0,16,50,124
Spring 2012,CR-Fairmount,Fairmount Line,765,0,day_type_01,weekday,2018/01/01 23:07:00+00,Fairmount,4,0,28,22,125
Spring 2012,CR-Fairmount,Fairmount Line,765,0,day_type_01,weekday,2018/01/01 23:11:00+00,Readville,5,,22,,126
Spring 2012,CR-Fairmount,Fairmount Line,767,0,day_type_01,weekday,2018/01/01 23:30:00+00,South Station,1,54,,54,127
Spring 2012,CR-Fairmount,Fairmount Line,767,0,day_type_01,weekday,2018/01/01 23:41:00+00,Uphams Corner,2,0,6,48,128
Spring 2012,CR-Fairmount,Fairmount Line,767,0,day_type_01,weekday,2018/01/01 23:48:00+00,Morton Street,3,0,12,36,129
Spring 2012,CR-Fairmount,Fairmount Line,767,0,day_type_01,weekday,2018/01/01 23:52:00+00,Fairmount,4,0,17,19,130
Spring 2012,CR-Fairmount,Fairmount Line,767,0,day_type_01,weekday,2018/01/01 23:56:00+00,Readville,5,,19,,131
Spring 2012,CR-Fairmount,Fairmount Line,769,0,day_type_01,weekday,2018/01/02 00:30:00+00,South Station,1,17,,17,132
Spring 2012,CR-Fairmount,Fairmount Line,769,0,day_type_01,weekday,2018/01/02 00:41:00+00,Uphams Corner,2,1,6,12,133
Spring 2012,CR-Fairmount,Fairmount Line,769,0,day_type_01,weekday,2018/01/02 00:48:00+00,Morton Street,3,0,2,10,134
Spring 2012,CR-Fairmount,Fairmount Line,769,0,day_type_01,weekday,2018/01/02 00:52:00+00,Fairmount,4,0,4,6,135
Spring 2012,CR-Fairmount,Fairmount Line,769,0,day_type_01,weekday,2018/01/02 00:56:00+00,Readville,5,,6,,136
Spring 2012,CR-Fairmount,Fairmount Line,771,0,day_type_01,weekday,2018/01/02 02:40:00+00,South Station,1,13,,13,137
Spring 2012,CR-Fairmount,Fairmount Line,771,0,day_type_01,weekday,2018/01/02 02:51:00+00,Uphams Corner,2,0,4,9,138
Spring 2012,CR-Fairmount,Fairmount Line,771,0,day_type_01,weekday,2018/01/02 02:58:00+00,Morton Street,3,0,3,6,139
Spring 2012,CR-Fairmount,Fairmount Line,771,0,day_type_01,weekday,2018/01/02 03:02:00+00,Fairmount,4,0,3,3,140
Spring 2012,CR-Fairmount,Fairmount Line,771,0,day_type_01,weekday,2018/01/02 03:06:00+00,Readville,5,,3,,141
Spring 2012,CR-Fairmount,Fairmount Line,793,0,day_type_01,weekday,2018/01/01 12:55:00+00,South Station,1,2,,2,142
Spring 2012,CR-Fairmount,Fairmount Line,793,0,day_type_01,weekday,2018/01/01 13:20:00+00,Readville,5,,2,,143
Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,2018/01/01 10:15:00+00,Fitchburg,1,23,,23,144
Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,2018/01/01 10:22:00+00,North Leominster,2,23,0,46,145
Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,2018/01/01 10:29:00+00,Shirley,3,29,0,75,146
Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,2018/01/01 10:34:00+00,Ayer,4,25,2,98,147
Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,2018/01/01 10:43:00+00,Littleton / Rte 495,5,17,0,115,148
Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,2018/01/01 10:51:00+00,South Acton,6,95,0,210,149
Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,2018/01/01 10:56:00+00,West Concord,7,15,1,224,150
Spring 2012,CR-Fairmount,Fairmount Line,768,1,day_type_01,weekday,2018/01/02 00:24:00+00,Uphams Corner,7,0,0,0,151
Spring 2012,CR-Fairmount,Fairmount Line,768,1,day_type_01,weekday,2018/01/02 00:35:00+00,South Station,8,,0,,152
Spring 2012,CR-Fairmount,Fairmount Line,770,1,day_type_01,weekday,2018/01/02 01:10:00+00,Readville,4,3,,3,153
Spring 2012,CR-Fairmount,Fairmount Line,770,1,day_type_01,weekday,2018/01/02 01:13:00+00,Fairmount,5,0,0,3,154
Spring 2012,CR-Fairmount,Fairmount Line,770,1,day_type_01,weekday,2018/01/02 01:17:00+00,Morton Street,6,3,1,5,155
Spring 2012,CR-Fairmount,Fairmount Line,770,1,day_type_01,weekday,2018/01/02 01:24:00+00,Uphams Corner,7,0,4,1,156
Spring 2012,CR-Fairmount,Fairmount Line,770,1,day_type_01,weekday,2018/01/02 01:35:00+00,South Station,8,,1,,157
Spring 2012,CR-Fairmount,Fairmount Line,772,1,day_type_01,weekday,2018/01/02 03:20:00+00,Readville,4,0,,0,158
Spring 2012,CR-Fairmount,Fairmount Line,772,1,day_type_01,weekday,2018/01/02 03:23:00+00,Fairmount,5,1,0,1,159
Spring 2012,CR-Fairmount,Fairmount Line,772,1,day_type_01,weekday,2018/01/02 03:27:00+00,Morton Street,6,0,0,1,160
Spring 2012,CR-Fairmount,Fairmount Line,772,1,day_type_01,weekday,2018/01/02 03:34:00+00,Uphams Corner,7,0,0,1,161
