"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes",
"1500000US250250102054","Block Group 4; Census Tract 102.05; Suffolk County; Massachusetts","540","217","0","14","55","91","40","37","146","107","37","45","84","64","166","149","0","14","0","14","0","14","12","20","0","14",
"1500000US250250102061","Block Group 1; Census Tract 102.06; Suffolk County; Massachusetts","877","351","29","47","50","79","206","178","95","99","259","181","39","48","188","176","11","18","0","14","0","14","0","14","0","14",
"1500000US250250102062","Block Group 2; Census Tract 102.06; Suffolk County; Massachusetts","359","134","10","17","39","37","107","77","40","33","72","81","12","19","79","88","0","14","0","14","0","14","0","14","0","14",
"1500000US250250103001","Block Group 1; Census Tract 103; Suffolk County; Massachusetts","439","175","18","17","157","102","38","39","91","81","18","28","0","14","89","84","7","14","0","14","6","11","15","18","0","14",
"1500000US250250103002","Block Group 2; Census Tract 103; Suffolk County; Massachusetts","1455","296","130","153","458","162","292","88","159","64","151","103","27","23","82","41","31","37","14","16","28","21","58","68","25","20",
"1500000US250250104031","Block Group 1; Census Tract 104.03; Suffolk County; Massachusetts","591","180","25","29","61","69","9","14","222","140","71","84","0","14","28","36","87","34","29","38","25","28","34","38","0","14",
"1500000US250250104032","Block Group 2; Census Tract 104.03; Suffolk County; Massachusetts","417","334","0","14","0","14","203","249","75","82","49","47","10","15","52","58","9","15","0","14","0","14","19","29","0","14",
"1500000US250250104033","Block Group 3; Census Tract 104.03; Suffolk County; Massachusetts","256","116","0","14","15","24","39","34","24","39","66","55","15","24","26","30","0","14","17","21","23","40","15","24","16","27",
"1500000US250250104041","Block Group 1; Census Tract 104.04; Suffolk County; Massachusetts","493","182","40","35","66","43","132","80","61","58","66","53","14","17","21","25","14","28","16","24","36","30","20","25","7","15",
"1500000US250250104042","Block Group 2; Census Tract 104.04; Suffolk County; Massachusetts","411","124","26","33","35","28","102","84","32","33","59","53","17","23","70","66","26","28","23","28","0","14","21","29","0","14",
