Geography,Total Estimate,Total Margin of Error,Estimate - Less than 5 minutes,Margin of Error - Less than 5 minutes,Estimate - 5 to 9 minutes,Margin of Error - 5 to 9 minutes,Estimate - 10 to 14 minutes,Margin of Error - 10 to 14 minutes,Estimate - 15 to 19 minutes,Margin of Error - 15 to 19 minutes,Estimate - 20 to 24 minutes,Margin of Error - 20 to 24 minutes,Estimate - 25 to 29 minutes,Margin of Error - 25 to 29 minutes,Estimate - 30 to 34 minutes,Margin of Error - 30 to 34 minutes,Estimate - 35 to 39 minutes,Margin of Error - 35 to 39 minutes,Estimate - 40 to 44 minutes,Margin of Error - 40 to 44 minutes,Estimate - 45 to 59 minutes,Margin of Error - 45 to 59 minutes,Estimate - 60 to 89 minutes,Margin of Error - 60 to 89 minutes,Estimate - 90 or more minutes,Margin of Error - 90 or more minutes,Block Group,Census Tract,County,State
1500000US250250301001,636,205,0,13,49,55,59,43,210,124,75,64,123,80,34,36,0,13,13,16,15,18,58,52,0,13,1,301,Suffolk County,Massachusetts
1500000US250250301002,648,201,9,14,55,77,51,37,136,73,48,46,62,49,137,78,22,27,87,136,31,22,0,13,10,15,2,301,Suffolk County,Massachusetts
1500000US250250302001,716,281,0,13,6,10,85,101,81,50,42,29,93,93,90,51,16,24,64,103,140,160,99,70,0,13,1,302,Suffolk County,Massachusetts
1500000US250250302002,450,145,17,20,39,40,113,83,91,51,64,49,6,11,61,49,8,12,0,13,44,51,7,11,0,13,2,302,Suffolk County,Massachusetts
1500000US250250303011,519,144,16,28,73,53,106,58,63,47,50,42,46,43,115,74,30,36,0,13,0,13,20,27,0,13,1,303.01,Suffolk County,Massachusetts
1500000US250250303012,75,67,0,13,0,13,0,13,0,13,37,35,0,13,0,13,0,13,0,13,20,27,11,19,7,13,2,303.01,Suffolk County,Massachusetts
1500000US250250303021,1106,211,44,37,165,102,300,131,121,58,139,82,38,40,181,89,30,33,12,17,28,32,22,35,26,36,1,303.02,Suffolk County,Massachusetts
1500000US250250304001,197,88,0,13,0,13,0,13,21,21,49,46,21,33,13,15,42,33,0,13,43,32,8,13,0,13,1,304,Suffolk County,Massachusetts
1500000US250250304002,698,193,24,29,21,34,51,44,45,31,129,80,84,77,87,56,57,77,73,49,53,48,44,36,30,47,2,304,Suffolk County,Massachusetts
1500000US250250304003,604,266,43,49,15,24,231,264,67,34,21,18,25,25,140,79,0,13,30,36,8,13,24,20,0,13,3,304,Suffolk County,Massachusetts
1500000US250250304004,884,365,53,60,27,30,286,293,231,189,53,30,28,33,140,110,0,13,0,13,0,13,51,54,15,24,4,304,Suffolk County,Massachusetts
1500000US250250305001,269,75,0,13,13,20,27,30,29,24,73,34,25,28,17,19,21,24,37,41,27,24,0,13,0,13,1,305,Suffolk County,Massachusetts
1500000US250250305002,618,141,83,55,30,34,16,17,93,58,145,77,39,37,73,35,12,15,0,13,43,34,76,62,8,12,2,305,Suffolk County,Massachusetts
1500000US250250305003,453,118,0,13,10,19,41,34,53,56,87,63,58,41,88,37,0,13,50,35,34,27,24,21,8,15,3,305,Suffolk County,Massachusetts
1500000US250250401001,327,83,0,13,0,13,28,29,53,36,64,39,60,56,64,40,11,17,0,13,47,28,0,13,0,13,1,401,Suffolk County,Massachusetts
1500000US250250401002,800,159,0,13,21,24,86,38,39,31,156,82,111,70,174,76,112,88,0,13,57,51,44,44,0,13,2,401,Suffolk County,Massachusetts
1500000US250250402001,302,109,0,13,5,7,39,33,48,38,40,35,0,13,86,83,0,13,0,13,31,24,53,32,0,13,1,402,Suffolk County,Massachusetts
1500000US250250402002,523,127,0,13,17,25,24,37,34,20,75,38,35,25,198,107,49,27,13,16,34,25,44,35,0,13,2,402,Suffolk County,Massachusetts
