Zip,City,SRO, 0 BR, 1BR, 2BR, 3BR, 4BR, 5BR, 6BR, 7 BR, 8 BR,avg_per_bed
2124,Boston - Dorchester,1659,2212,2377,2827,3418,3765,4329,4894,5459,6024,1255.2674603174603
2122,Boston - Dorchester,1659,2212,2377,2827,3418,3765,4329,4894,5459,6024,1255.2674603174603
2119,Boston - Roxbury,1659,2212,2377,2827,3418,3765,4329,4894,5459,6024,1255.2674603174603
2126,Boston - Mattapan,1659,2212,2377,2827,3418,3765,4329,4894,5459,6024,1255.2674603174603
2120,Boston - Roxbury,1673,2230,2397,2850,3446,3796,4365,4934,5504,6074,1265.6150793650793
2118,Boston - South End / Roxbury,1732,2309,2481,2950,3600,3950,4518,5107,5697,6287,1311.8887566137566
1913,Amesbury,1742,2323,2496,2969,3589,3954,4546,5139,5732,6326,1318.1822751322752
2476,Arlington,1742,2323,2496,2969,3589,3954,4546,5139,5732,6326,1318.1822751322752
1720,Acton,1742,2323,2496,2969,3589,3954,4546,5139,5732,6326,1318.1822751322752
1950,Newburyport,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1951,Newbury,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2056,Norfolk,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2462,Newton - Lower Falls,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2052,Medfield,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2062,Norwood,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2152,Winthrop,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1984,Wenham,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2081,Walpole,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1880,Wakefield,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1983,Topsfield,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1776,Sudbury,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1775,Stow,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2180,Stoneham,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1770,Sherborn,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2066,Scituate,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1952,Salisbury,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1966,Rockport,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1867,Reading,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2170,Quincy,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2169,Quincy,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2762,Plainville,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2359,Pembroke,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1864,North Reading,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1969,Rowley,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2093,Wrentham,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1749,Hudson,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1938,Ipswich,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1773,Lincoln,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1460,Littleton,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1746,Holliston,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2343,Holbrook,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1944,Manchester,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1945,Marblehead,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2050,Marshfield,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2339,Hanover,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2053,Medway,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2136,Boston - Hyde Park ,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2364,Kingston,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2035,Foxboro,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2038,Franklin,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2131,Boston - Roslindale,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1929,Essex,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2176,Melrose,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2032,East Walpole,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1741,Carlisle,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1719,Boxborough,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2054,Millis,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2186,Milton,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1908,Nahant,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2184,Braintree,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1760,Natick,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
1915,Beverly,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688
2132,Boston - West Roxbury,1745,2326,2499,2972,3594,3959,4552,5146,5739,6333,1319.8109788359789
2148,Malden,1745,2326,2499,2972,3594,3959,4552,5146,5739,6333,1319.8109788359789
2025,Cohasset,1750,2334,2508,2982,3606,3972,4567,5163,5759,6355,1324.3321428571428
2171,Quincy,1750,2334,2508,2982,3606,3972,4567,5163,5759,6355,1324.3321428571428
1876,Tewksbury,1607,2142,2384,3129,3780,4169,4794,5420,6044,6670,1328.0068783068782
1886,Westford,1615,2153,2395,3140,3802,4180,4807,5434,6061,6688,1333.2507936507936
2494,Needham Hills ,1775,2367,2543,3024,3657,4028,4631,5236,5840,6444,1342.9613756613755
1949,Middleton,1776,2367,2544,3025,3658,4029,4633,5237,5842,6446,1343.3153439153439
1721,Ashland,1781,2375,2552,3035,3669,4042,4647,5254,5860,6467,1347.6205026455027
2492,Needham,1782,2375,2552,3035,3670,4043,4648,5255,5861,6468,1347.75582010582
2332,Duxbury,1782,2375,2552,3035,3670,4043,4648,5255,5861,6468,1347.75582010582
2026,Dedham,1794,2392,2570,3056,3695,4070,4680,5291,5902,6512,1357.126984126984
2134,Boston - Allston,1820,2426,2607,3100,3749,4129,4748,5367,5987,6606,1376.6724867724868
2115,Boston - Fenway,1820,2426,2607,3100,3749,4129,4748,5367,5987,6606,1376.6724867724868
2474,Arlington,1851,2468,2646,3150,3812,4200,4830,5460,6090,6720,1399.5185185185187
