Geography,Total Estimate,Total Margin of Error,Estimate - Less than 5 minutes,Margin of Error - Less than 5 minutes,Estimate - 5 to 9 minutes,Margin of Error - 5 to 9 minutes,Estimate - 10 to 14 minutes,Margin of Error - 10 to 14 minutes,Estimate - 15 to 19 minutes,Margin of Error - 15 to 19 minutes,Estimate - 20 to 24 minutes,Margin of Error - 20 to 24 minutes,Estimate - 25 to 29 minutes,Margin of Error - 25 to 29 minutes,Estimate - 30 to 34 minutes,Margin of Error - 30 to 34 minutes,Estimate - 35 to 39 minutes,Margin of Error - 35 to 39 minutes,Estimate - 40 to 44 minutes,Margin of Error - 40 to 44 minutes,Estimate - 45 to 59 minutes,Margin of Error - 45 to 59 minutes,Estimate - 60 to 89 minutes,Margin of Error - 60 to 89 minutes,Estimate - 90 or more minutes,Margin of Error - 90 or more minutes,Block Group,Census Tract,County,State
1500000US250251105011,437,161,0,12,13,19,40,42,45,43,45,33,57,58,77,50,7,12,0,12,52,36,101,105,0,12,1,1105.01,Suffolk County,Massachusetts
1500000US250251105012,861,138,0,12,7,12,111,60,0,12,144,69,66,50,208,96,70,46,91,65,133,63,31,39,0,12,2,1105.01,Suffolk County,Massachusetts
1500000US250251105013,489,126,0,12,11,15,48,47,18,21,110,56,65,50,75,46,25,27,65,42,59,44,13,22,0,12,3,1105.01,Suffolk County,Massachusetts
1500000US250251105021,886,230,0,12,104,100,36,39,54,40,135,91,51,37,125,86,54,48,158,93,95,54,62,67,12,19,1,1105.02,Suffolk County,Massachusetts
1500000US250251105022,1074,285,10,15,32,28,23,25,107,71,186,121,224,112,126,74,61,58,70,55,31,31,146,83,58,70,2,1105.02,Suffolk County,Massachusetts
1500000US250251105023,257,78,0,12,34,32,15,17,42,32,13,19,37,30,16,20,30,46,24,27,36,31,10,16,0,12,3,1105.02,Suffolk County,Massachusetts
1500000US250251106011,688,171,23,34,10,16,5,9,45,30,109,52,64,77,211,96,21,21,63,40,92,43,33,28,12,16,1,1106.01,Suffolk County,Massachusetts
1500000US250251106012,402,93,0,12,29,23,30,29,10,15,37,38,35,35,96,56,46,44,39,28,36,29,25,24,19,21,2,1106.01,Suffolk County,Massachusetts
1500000US250251106071,716,261,0,12,12,20,0,12,65,81,211,148,68,57,99,95,43,42,123,121,95,94,0,12,0,12,1,1106.07,Suffolk County,Massachusetts
1500000US250251106072,732,201,0,12,53,24,23,28,35,40,93,93,131,54,223,93,0,12,56,52,53,49,65,54,0,12,2,1106.07,Suffolk County,Massachusetts
