Geography,Total Estimate,Total Margin of Error,"Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:",Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Taxicab,Margin of Error - Taxicab,Estimate - Motorcycle,Margin of Error - Motorcycle,Estimate - Bicycle,Margin of Error - Bicycle,Estimate - Walked,Margin of Error - Walked,Estimate - Other means,Margin of Error - Other means,Estimate - Worked from home,Margin of Error - Worked from home,Block Group,Census Tract,County,State
1500000US250250101041,690,144,190,68,133,58,57,31,30,27,27,58,0,14,0,14,0,14,164,81,32,32,132,70,0,14,0,14,0,14,0,14,0,14,43,51,183,78,16,24,94,49,1,101.04,Suffolk County,Massachusetts
1500000US250250101042,1149,209,155,79,139,75,16,22,8,15,0,14,0,14,8,16,0,14,127,68,46,35,45,30,6,11,30,45,0,14,0,14,0,14,43,41,587,166,8,16,229,110,2,101.04,Suffolk County,Massachusetts
1500000US250250101043,561,157,29,24,29,24,0,14,0,14,0,14,0,14,0,14,0,14,186,113,0,14,186,113,0,14,0,14,0,14,0,14,0,14,0,14,201,124,0,14,145,92,3,101.04,Suffolk County,Massachusetts
1500000US250250102041,461,127,35,31,12,17,23,26,6,11,9,17,0,14,8,16,0,14,22,24,9,17,13,16,0,14,0,14,0,14,0,14,0,14,13,18,328,115,1,3,62,91,1,102.04,Suffolk County,Massachusetts
1500000US250250102042,628,154,96,56,82,55,14,19,14,19,0,14,0,14,0,14,0,14,131,69,24,22,107,65,0,14,0,14,0,14,0,14,0,14,22,31,273,102,0,14,106,89,2,102.04,Suffolk County,Massachusetts
1500000US250250102043,461,107,148,64,104,41,44,66,0,14,0,14,0,14,0,14,44,66,44,31,6,11,35,28,3,6,0,14,0,14,0,14,0,14,25,2,222,85,8,11,14,23,3,102.04,Suffolk County,Massachusetts
1500000US250250102051,400,223,20,45,20,45,0,14,0,14,0,14,0,14,0,14,0,14,136,169,5,8,131,169,0,14,0,14,0,14,0,14,0,14,104,130,98,78,0,14,42,49,1,102.05,Suffolk County,Massachusetts
1500000US250250102052,852,374,16,18,16,18,0,14,0,14,0,14,0,14,0,14,0,14,192,165,132,153,48,65,0,14,12,19,0,14,0,14,0,14,0,14,490,351,27,46,127,97,2,102.05,Suffolk County,Massachusetts
1500000US250250102053,802,239,34,39,34,39,0,14,0,14,0,14,0,14,0,14,0,14,207,123,80,60,127,117,0,14,0,14,0,14,0,14,0,14,50,47,295,136,20,33,196,158,3,102.05,Suffolk County,Massachusetts
1500000US250250102054,642,273,86,94,86,94,0,14,0,14,0,14,0,14,0,14,0,14,68,69,51,64,0,14,0,14,17,29,0,14,0,14,0,14,55,91,319,139,12,20,102,106,4,102.05,Suffolk County,Massachusetts
