Geography,Total Estimate,Total Margin of Error,Estimate - 12:00 a.m. to 4:59 a.m.,Margin of Error - 12:00 a.m. to 4:59 a.m.,Estimate - 5:00 a.m. to 5:29 a.m.,Margin of Error - 5:00 a.m. to 5:29 a.m.,Estimate - 5:30 a.m. to 5:59 a.m.,Margin of Error - 5:30 a.m. to 5:59 a.m.,Estimate - 6:00 a.m. to 6:29 a.m.,Margin of Error - 6:00 a.m. to 6:29 a.m.,Estimate - 6:30 a.m. to 6:59 a.m.,Margin of Error - 6:30 a.m. to 6:59 a.m.,Estimate - 7:00 a.m. to 7:29 a.m.,Margin of Error - 7:00 a.m. to 7:29 a.m.,Estimate - 7:30 a.m. to 7:59 a.m.,Margin of Error - 7:30 a.m. to 7:59 a.m.,Estimate - 8:00 a.m. to 8:29 a.m.,Margin of Error - 8:00 a.m. to 8:29 a.m.,Estimate - 8:30 a.m. to 8:59 a.m.,Margin of Error - 8:30 a.m. to 8:59 a.m.,Estimate - 9:00 a.m. to 9:59 a.m.,Margin of Error - 9:00 a.m. to 9:59 a.m.,Estimate - 10:00 a.m. to 10:59 a.m.,Margin of Error - 10:00 a.m. to 10:59 a.m.,Estimate - 11:00 a.m. to 11:59 a.m.,Margin of Error - 11:00 a.m. to 11:59 a.m.,Estimate - 12:00 p.m. to 3:59 p.m.,Margin of Error - 12:00 p.m. to 3:59 p.m.,Estimate - 4:00 p.m. to 11:59 p.m.,Margin of Error - 4:00 p.m. to 11:59 p.m.,Block Group,Census Tract,County,State
1500000US250251404001,98,60,0,12,0,12,0,12,55,52,0,12,0,12,0,12,0,12,0,12,15,24,0,12,0,12,0,12,28,31,1,1404,Suffolk County,Massachusetts
1500000US250251404002,334,175,0,12,0,12,43,46,21,31,64,68,51,51,0,12,34,54,41,44,23,24,45,46,0,12,12,19,0,12,2,1404,Suffolk County,Massachusetts
1500000US250251404003,554,242,9,16,20,35,55,65,119,149,48,59,133,112,47,54,52,59,0,12,9,15,0,12,0,12,13,22,49,54,3,1404,Suffolk County,Massachusetts
1500000US250251404004,482,276,0,12,0,12,46,37,11,18,0,12,122,117,0,12,131,101,0,12,84,81,0,12,0,12,88,95,0,12,4,1404,Suffolk County,Massachusetts
1500000US250251404005,1044,278,0,12,38,57,0,12,97,78,90,70,255,159,76,59,17,35,16,26,107,70,0,12,28,32,232,151,88,77,5,1404,Suffolk County,Massachusetts
1500000US250251404006,692,278,25,39,20,33,28,45,14,22,41,54,124,123,176,104,118,95,27,31,0,12,0,12,0,12,78,72,41,61,6,1404,Suffolk County,Massachusetts
1500000US250251404007,444,200,0,12,0,12,16,24,113,80,0,12,13,23,20,25,0,12,15,26,36,36,0,12,0,12,151,91,80,79,7,1404,Suffolk County,Massachusetts
1500000US250251601011,579,245,77,61,72,69,69,82,47,49,42,43,73,55,0,12,27,42,10,16,0,12,67,81,0,12,0,12,95,152,1,1601.01,Suffolk County,Massachusetts
1500000US250251601012,1115,406,75,98,174,103,55,57,117,103,54,65,109,84,113,84,168,117,0,12,33,50,20,32,0,12,141,127,56,62,2,1601.01,Suffolk County,Massachusetts
1500000US250251601013,513,216,30,47,22,26,15,25,33,38,79,98,0,12,124,88,52,53,16,27,0,12,122,119,0,12,0,12,20,36,3,1601.01,Suffolk County,Massachusetts
